  81 kiskêyihtam	kiskêyihtam+V+TI+Ind+3Sg
  79 wâ	wâ+Ipc
  79 misawâc	misawâc+Ipc
  78 ê-itêyihtamân	PV/e+itêyihtam+V+TI+Cnj+1Sg
  78 nawac	nawac+Ipc
  77 ê-miywâsik	PV/e+miywâsin+V+II+Cnj+3Sg
  77 wâpahtam	wâpahtam+V+TI+Ind+3Sg
  77 tânitê	tânitê+Ipc
  77 nistêsê	nistês+N+A+D+Voc+Sg
  77 hêy	hêy+Ipc
  73 sakâhk	sakâhk+Ipc
  73 ayâwak	ayâw+V+AI+Ind+3Pl
  72 cîki	cîki+Ipc
  70 ê-wâpaniyik	PV/e+wâpan+V+II+Cnj+4Sg
  70 sipwêhtêwak	sipwêhtêw+V+AI+Ind+3Pl
  68 ê-pîhtokêt	PV/e+pîhtokêw+V+AI+Cnj+3Sg
  68 tânêhki	tânêhki+Ipc
  68 isko	isko+Ipc
  68 cêskwa	cêskwa+Ipc
  65 kâkikê	kâkikê+Ipc
  64 wayawîtimihk	wayawîtimihk+Ipc
  64 itâw	itêw+V+TA+Ind+X+3SgO
  64 ayiwâk	ayiwâk+Ipc
  63 ê-ayât	PV/e+ayâw+V+AI+Cnj+3Sg
  63 wayawîw	wayawîw+V+AI+Ind+3Sg
  63 kâ-kîsikâk	PV/kaa+kîsikâw+V+II+Cnj+3Sg
  63 awîna	awîna+Ipc
  62 tahto-kîsikâw	tahto-kîsikâw+Ipc
  61 ê-wâpahk	PV/e+wâpan+V+II+Cnj+3Sg
  61 ê-ispayik	PV/e+ispayiw+V+II+Cnj+3Sg
  61 nititêyihtên	itêyihtam+V+TI+Ind+1Sg
  61 mwêhci	mwêhci+Ipc
  60 têpiyâhk	têpiyâhk+Ipc
  60 pita	pita+Ipc
  60 ohpimê	ohpimê+Ipc
  60 nikiskisin	kiskisiw+V+AI+Ind+1Sg
  58 ê-sipwêhtêt	PV/e+sipwêhtêw+V+AI+Cnj+3Sg
  58 ê-itikot	PV/e+itêw+V+TA+Cnj+4Sg/Pl+3SgO
  58 tâpiskôt	tâpiskôt+Ipc
  58 kâ-wâpahtahk	PV/kaa+wâpahtam+V+TI+Cnj+3Sg
  57 ê-itât	PV/e+itêw+V+TA+Cnj+3Sg+4Sg/PlO
  56 pîhtokêw	pîhtokêw+V+AI+Ind+3Sg
  55 êyâpic	êyâpic+Ipc
  54 ê-takohtêt	PV/e+takohtêw+V+AI+Cnj+3Sg
  54 nêwo	nêwo+Ipc
  54 nikiskêyihtên	kiskêyihtam+V+TI+Ind+1Sg
  53 ê-itohtêt	PV/e+itohtêw+V+AI+Cnj+3Sg
  52 ê-ayâcik	PV/e+ayâw+V+AI+Cnj+3Pl
  52 kapê-kîsik	kapê-kîsik+Ipc
  52 hay	hay+Ipc
  52 apisîs	apisîs+Ipc
  51 wâpahki	wâpahki+Ipc
  51 tahto	tahto+Ipc
  51 kinwêsk	kinwêsk+Ipc
  51 ispimihk	ispimihk+Ipc
  50 ê-otâkosiniyik	PV/e+otâkosin+V+II+Cnj+4Sg
  50 kiyawâw	kiyawâw+Pron+Pers+2Pl
  49 pasikôw	pasikôw+V+AI+Ind+3Sg
  49 nôhkô	nôhkom+N+A+D+Voc+Sg
  48 tapasîw	tapasîw+V+AI+Ind+3Sg
  48 osîhtâw	osîhtâw+V+TI+Ind+3Sg
  47 sâsay	sâsay+Ipc
  47 kâ	kâ+Ipc
  46 anita	anita+Ipc
  45 ê-kî-itwêt	PV/e+PV/ki+itwêw+V+AI+Cnj+3Sg
  44 ê-otinahk	PV/e+otinam+V+TI+Cnj+3Sg
  44 nôhtâ	nôhtâwiy+N+A+D+Voc+Sg
  44 kayâhtê	kayâhtê+Ipc
  43 ê-wâpamât	PV/e+wâpamêw+V+TA+Cnj+3Sg+4Sg/PlO
  43 takosin	takosin+V+AI+Ind+3Sg
  43 nititâwak	itêw+V+TA+Ind+1Sg+3PlO
  43 ha	ha+Ipc
  42 pakahkam	pakahkam+Ipc
  42 nîstanân	nîstanân+Pron+Pers+1Pl+Incl
  41 tâpitawi	tâpitawi+Ipc
  41 nâha	awa+Pron+Dem+Dist+A+Sg
  41 kisiwâsiw	kisiwâsiw+V+AI+Ind+3Sg
  40 wîpac	wîpac+Ipc
  40 nisto	nisto+Ipc
  40 itohtêwak	itohtêw+V+AI+Ind+3Pl
  39 tipiskâyiw	tipiskâw+V+II+Ind+4Sg
  39 pîtos	pîtos+Ipc
  39 miyêw	miyêw+V+TA+Ind+3Sg+4Sg/PlO
  39 mitâtaht	mitâtaht+Ipc
  38 wâpamêwak	wâpamêw+V+TA+Ind+3Pl+4Sg/PlO
  38 ohcitaw	ohcitaw+Ipc
  38 miyosiw	miyosiw+V+AI+Ind+3Sg
  37 ê-pimohtêt	PV/e+pimohtêw+V+AI+Cnj+3Sg
  37 âh	âh+Ipc
  37 takohtêw	takohtêw+V+AI+Ind+3Sg
  37 nimisê	nimis+N+A+D+Voc+Sg
  37 mwêstas	mwêstas+Ipc
  37 kêhcinâ	kêhcinâ+Ipc
  37 iyâyaw	iyâyaw+Ipc
  36 ê-tipiskâk	PV/e+tipiskâw+V+II+Cnj+3Sg
  36 ê-kiskisiyân	PV/e+kiskisiw+V+AI+Cnj+1Sg
  35 nimiywêyihtên	miywêyihtam+V+TI+Ind+1Sg
  34 ê-nipât	PV/e+nipâw+V+AI+Cnj+3Sg
  34 ê-ayâyit	PV/e+ayâw+V+AI+Cnj+4Sg/Pl
  34 âstam	âstam+Ipc
  34 wawêyîw	wawêyîw+V+AI+Ind+3Sg
  34 kî-itwêw	PV/ki+itwêw+V+AI+Ind+3Sg
  33 ôtênâhk	ôtênâhk+Ipc
  33 wâwîs	wâwîs+Ipc
  33 nîswâw	nîswâw+Ipc
  33 nêma	ôma+Pron+Dem+Dist+I+Sg
  33 nisîmitik	nisîm+N+A+D+Voc+Pl
  33 miywâsin	miywâsin+V+II+Ind+3Sg
  33 kikiskêyihtên	kiskêyihtam+V+TI+Ind+2Sg
  33 itâp	itâp+Ipc
  32 ê-pimâtisit	PV/e+pimâtisiw+V+AI+Cnj+3Sg
  32 ê-osîhtât	PV/e+osîhtâw+V+TI+Cnj+3Sg
  32 ê-kîsi-mîcisocik	PV/e+kîsi-mîcisow+V+AI+Cnj+3Pl
  32 ê-ihtât	PV/e+ihtâw+V+AI+Cnj+3Sg
  32 pitamâ	pitamâ+Ipc
  32 mihcêtwâw	mihcêtwâw+Ipc
  32 kâ-miyosit	PV/kaa+miyosiw+V+AI+Cnj+3Sg
  32 apiw	apiw+V+AI+Ind+3Sg
  31 êkospîhk	êkospîhk+Ipc
  31 sôhki	sôhki+Ipc
  30 ê-sakâyik	PV/e+sakâw+V+II+Cnj+4Sg
