x	y	name
0	0	
1	146	k
1	97	m
1	984	h
1	28	r
1	16	l
1	10	n
1	164	d
1	75	y
1	108	w
1	215	b
1	146	g
2	10	di
2	7	ro
2	7	ki
2	10	ye
2	18	mi
2	104	dj
2	46	ma
2	47	da
2	14	ru
2	207	hb
2	16	hl
2	27	de
2	7	lo
2	39	do
2	5	yu
2	101	ng
2	39	gu
2	1050	yi
2	73	hy
2	948	ga
2	2	nu
2	96	hm
2	19	ge
2	64	du
2	2	no
2	37	wa
2	1024	bi
2	931	bo
2	21	ya
2	6	nj
2	108	hw
2	164	rr
2	13	mo
2	128	hk
2	3	la
2	5	re
2	39	ku
2	10	hn
2	898	me
2	921	go
2	921	ko
2	12	ra
2	164	hd
2	34	wo
2	9	wi
2	47	ba
2	18	wu
2	49	be
2	84	na
2	948	ka
2	128	hg
2	13	mu
2	33	bu
2	19	ke
2	21	we
2	28	hr
3	20	kol
3	2	yay
3	11	gon
3	991	yih
3	6	wer
3	208	bib
3	38	bol
3	7	nud
3	11	bur
3	73	kay
3	5	dol
3	13	mad
3	6	dul
3	861	dad
3	2	wur
3	104	hdj
3	1	ray
3	891	rak
3	22	kor
3	99	kaw
3	892	kah
3	1038	nga
3	21	hwe
3	6	hnj
3	18	gal
3	37	hku
3	16	mel
3	64	rru
3	64	hdu
3	891	wok
3	31	ngu
3	893	keb
3	3	naw
3	27	rre
3	1100	kag
3	3	ber
3	36	hka
3	5	mul
3	1	mok
3	10	bar
3	13	dur
3	74	kun
3	1	nji
3	23	dju
3	6	run
3	1100	gak
3	637	kan
3	4	mil
3	18	hmi
3	865	mim
3	110	yiw
3	861	nuk
3	5	beb
3	10	yin
3	13	bon
3	1	yah
3	6	dje
3	893	red
3	1	wey
3	42	dja
3	7	hro
3	10	nam
3	3	bun
3	3	kuy
3	1	dan
3	128	big
3	195	kab
3	7	dor
3	0	ken
3	2	roy
3	4	wab
3	102	mew
3	4	dah
3	1857	bad
3	7	del
3	921	hko
3	1100	kak
3	0	den
3	897	ded
3	21	hya
3	984	woh
3	4	roh
3	615	ben
3	10	wul
3	896	rud
3	3	dab
3	10	hdi
3	2	low
3	189	gob
3	5	may
3	89	man
3	66	kar
3	1	lab
3	16	ngi
3	893	kuk
3	20	gol
3	896	hyi
3	985	kum
3	9	kur
3	158	bod
3	1	nja
3	0	kin
3	4	mal
3	58	bir
3	984	bih
3	7	wel
3	4	mud
3	972	kam
3	88	bom
3	5	rur
3	7	dub
3	27	hde
3	205	yid
3	12	nge
3	18	kal
3	28	hbi
3	1	mur
3	1094	yim
3	110	mek
3	7	nay
3	893	dak
3	963	yaw
3	218	yib
3	19	yil
3	37	hwa
3	0	rey
3	24	mer
3	63	yir
3	1	lak
3	931	hbo
3	128	bik
3	45	hbe
3	104	gow
3	2	hlu
3	0	mor
3	2	raw
3	4	nom
3	180	kad
3	891	lod
3	5	dal
3	7	hki
3	0	dar
3	14	nab
3	1082	bim
3	12	bin
3	132	yig
3	11	wod
3	1044	bid
3	7	kel
3	2	wir
3	951	kom
3	0	yi[
3	11	ngo
3	164	hrr
3	5	dil
3	9	gur
3	1	nan
3	2	mir
3	5	dok
3	19	nag
3	2	nal
3	891	yau
3	19	bil
3	46	hba
3	45	hma
3	2	rer
3	11	nar
3	19	hke
3	110	biw
3	1901	kod
3	11	mar
3	997	bal
3	1	yuw
3	19	nak
3	6	ger
3	8	dji
3	73	biy
3	19	nad
3	25	djo
3	4	duh
3	73	yiy
3	5	bul
3	2	hnu
3	10	dow
3	14	dun
3	34	hwo
3	36	hga
3	13	men
3	11	war
3	8	yer
3	132	yik
3	47	hda
3	3	win
3	0	yar
4	5	mule
4	2	dorn
4	164	bihd
4	130	yihk
4	1857	barr
4	2	keng
4	96	bihm
4	116	kahg
4	21	yiwe
4	13	kund
4	8	kayo
4	19	yike
4	891	rakk
4	7	naka
4	10	yimn
4	6	gerr
4	9	biwi
4	96	wohm
4	148	rakd
4	10	wohn
4	33	kawa
4	108	kumw
4	6	nago
4	126	yawk
4	29	yihr
4	5	hdil
4	799	ngad
4	110	kebk
4	0	mayi
4	891	rudd
4	22	ngud
4	35	yiwo
4	1	nala
4	6	name
4	2	kinj
4	2	binu
4	2	nomi
4	1004	kane
4	891	wokk
4	68	kanm
4	10	gowi
4	3	manw
4	20	mewe
4	10	yiye
4	106	bidj
4	154	kahd
4	44	beny
4	89	kebm
4	6	nudm
4	895	bolk
4	65	redy
4	28	gakr
4	20	korl
4	28	wohr
4	37	yiwa
4	14	miml
4	116	kahk
4	67	benm
4	1	ward
4	166	yimd
4	18	biwu
4	1	yahw
4	4	wabm
4	868	dile
4	795	kayi
4	4	wele
4	28	bibi
4	0	kunn
4	74	ying
4	921	biko
4	164	kakd
4	18	karl
4	8	morn
4	73	yihy
4	1	weyk
4	95	ngal
4	108	balw
4	207	kumb
4	28	yibi
4	957	yawh
4	34	gowa
4	183	bidb
4	19	benr
4	861	djen
4	42	hdja
4	6	wulh
4	861	hdad
4	867	berl
4	91	kand
4	181	badm
4	16	ball
4	164	wohd
4	45	yima
4	10	yina
4	804	kame
4	69	kahy
4	13	djar
4	894	berd
4	141	mimd
4	141	benb
4	1	kuni
4	891	bule
4	7	benn
4	6	rrul
4	16	manb
4	7	naga
4	102	bidw
4	861	milh
4	14	biru
4	891	mala
4	106	hyig
4	2	yinu
4	69	kamy
4	3	warl
4	128	kumk
4	6	yinj
4	965	kodj
4	209	yihb
4	88	lodm
4	608	benh
4	4	hroh
4	28	bihr
4	158	hbod
4	1	nanj
4	963	hyaw
4	1901	korr
4	7	bilo
4	26	meko
4	2	royh
4	189	redb
4	9	hyin
4	37	bigu
4	891	ngey
4	141	komd
4	46	kany
4	201	yawb
4	4	yaym
4	1857	hbad
4	130	yihg
4	53	gobo
4	4	yili
4	21	yiya
4	1	nalo
4	166	yihd
4	826	kako
4	1	rung
4	187	kamb
4	1	dele
4	984	hwoh
4	20	kaya
4	1	namu
4	896	yiyi
4	891	bolh
4	9	nukn
4	897	kanj
4	102	kebw
4	7	rawo
4	88	redm
4	96	bimm
4	96	yimm
4	10	yihn
4	904	kare
4	3	hkim
4	4	dahm
4	921	bigo
4	2	hmir
4	0	yi[V
4	26	yawr
4	2	lowk
4	11	bimn
4	89	marn
4	102	dadw
4	205	yirr
4	10	bihn
4	100	balm
4	4	wurr
4	1	moke
4	4	wind
4	3	kunw
4	10	hbar
4	21	kebr
4	875	dang
4	73	yimy
4	2	daku
4	104	hyiw
4	13	marr
4	993	bene
4	128	wohk
4	3	bila
4	10	kaye
4	2	kuyk
4	5	nadu
4	141	kanb
4	7	manm
4	6	deng
4	116	kamk
4	108	wohw
4	5	nadj
4	16	gakl
4	99	kamw
4	1	nawo
4	88	rudm
4	984	hgak
4	109	ngaw
4	1	hdan
4	2	nayi
4	73	bihy
4	984	bimh
4	45	bibe
4	10	gakn
4	893	kukk
4	13	yimu
4	3	mudd
4	17	kawu
4	1786	bili
4	2	naru
4	28	balr
4	102	komg
4	984	kumh
4	4	nang
4	2	menu
4	16	yawl
4	39	yika
4	134	ngag
4	1	kuyi
4	102	dadk
4	2	yilu
4	19	kawe
4	897	berr
4	148	kebd
4	75	ngay
4	1879	kord
4	13	burr
4	893	bunj
4	73	gaky
4	4	melm
4	19	beng
4	96	kumm
4	5	kuny
4	20	hkol
4	5	nare
4	898	bime
4	3	mirn
4	209	yimb
4	109	yihw
4	4	nama
4	110	lodk
4	4	duhm
4	27	hrre
4	5	bebb
4	3	wirr
4	1100	gakk
4	108	gakw
4	148	wokd
4	9	yiwi
4	108	bimw
4	5	bodm
4	28	kumr
4	870	hbid
4	207	gakb
4	6	baru
4	39	yiga
4	863	dedj
4	6	binj
4	7	dorr
4	10	kumn
4	629	ngan
4	5	manr
4	12	hbal
4	31	kaga
4	991	yimh
4	73	bing
4	6	nabo
4	2	ngol
4	3	yila
4	128	bimg
4	108	bihw
4	134	ngak
4	21	lodr
4	2	kunl
4	94	yawm
4	10	wern
4	69	yawy
4	1	yuwi
4	35	kama
4	928	yigo
4	34	biwo
4	67	kang
4	12	yiyo
4	12	gurr
4	9	komn
4	14	bidl
4	2	manl
4	1019	kadi
4	96	yihm
4	891	yiwk
4	104	yidj
4	11	hmar
4	1	hnja
4	142	yird
4	189	lodb
4	96	gakm
4	1	nabe
4	906	durr
4	896	biyi
4	19	yige
4	2	djih
4	7	benl
4	1	hnji
4	64	komy
4	4	murr
4	45	kabe
4	99	kahw
4	5	yiyu
4	16	kakl
4	894	dalk
4	102	nukw
4	189	rakb
4	44	gobe
4	16	kami
4	45	bida
4	10	kahn
4	102	mimw
4	3	kala
4	64	hrru
4	8	yerr
4	20	yimi
4	7	kunm
4	164	gakd
4	11	hyak
4	891	hwok
4	5	hkay
4	5	kunr
4	7	yilo
4	27	kahr
4	96	kakm
4	10	hkan
4	102	dadg
4	2	male
4	88	kank
4	1847	bard
4	180	karr
4	939	yibo
4	6	dokm
4	18	bimi
4	984	hkak
4	4	wabb
4	1782	kole
4	92	kadj
4	9	djur
4	9	kamu
4	59	kanw
4	128	wohg
4	1	bind
4	892	gono
4	2	nawa
4	21	biwe
4	931	bibo
4	51	yida
4	893	rerr
4	12	bira
4	7	karo
4	5	bonj
4	991	ngah
4	2	yini
4	861	njam
4	3	badj
4	574	kabi
4	18	yiwu
4	28	bimr
4	5	hbeb
4	3	naya
4	187	kahb
4	4	yarl
4	13	yimo
4	73	kaky
4	37	biwa
4	7	yiki
4	9	hkur
4	0	doln
4	997	barl
4	4	djor
4	893	hkeb
4	14	hdun
4	910	yime
4	611	kanh
4	2	nado
4	10	bina
4	48	yibe
4	1	naba
4	14	rrun
4	14	kunb
4	45	bidr
4	151	merr
4	37	biku
4	1	mang
4	7	kurl
4	33	kaku
4	0	kung
4	39	yido
4	161	yawd
4	6	nako
4	73	wohy
4	65	raky
4	19	kunk
4	891	ngui
4	128	bihk
4	164	bimd
4	42	kada
4	5	menj
4	4	rohr
4	861	nukk
4	3	hber
4	5	many
4	36	bika
4	2	kanu
4	7	yiro
4	128	bihg
4	104	mimk
4	5	bire
4	897	hded
4	922	kade
4	12	warr
4	10	bodi
4	64	mimy
4	16	yihl
4	10	kara
4	2	djik
4	675	ngar
4	1	namo
4	6	nade
4	7	hdel
4	15	yiru
4	10	lodn
4	2	nake
4	13	mand
4	5	yire
4	164	bald
4	25	bide
4	893	dung
4	826	kago
4	1	lakk
4	6	hdje
4	29	yide
4	18	meke
4	1	hbin
4	88	benk
4	10	ngim
4	1044	birr
4	59	bidu
4	1002	bidi
4	207	kakb
4	10	yawn
4	1	njil
4	4	dowk
4	79	kahm
4	986	bidd
4	29	yimr
4	3	hkuy
4	1100	kakk
4	13	bimu
4	23	kanr
4	936	kabo
4	10	wokn
4	9	ngur
4	896	rurr
4	2	kayh
4	892	galh
4	47	biba
4	130	yimg
4	130	balk
4	892	kamh
4	891	madj
4	130	yimk
4	207	balb
4	21	biya
4	10	kebn
4	891	dule
4	991	djal
4	59	benw
4	25	hdjo
4	2	bale
4	984	balh
4	4	yawo
4	19	birl
4	141	nukd
4	68	yidu
4	19	yirl
4	1	nara
4	19	bike
4	891	lodd
4	3	bini
4	2	dulu
4	0	mann
4	3	nabi
4	998	kele
4	7	dubb
4	861	hnuk
4	928	yiko
4	31	kaka
4	5	ngor
4	1088	ngam
4	5	yidm
4	64	nuky
4	20	mank
4	2	wodb
4	128	gakg
4	79	kamm
4	388	badb
4	19	bige
4	3	naku
4	893	dulk
4	14	yira
4	8	kann
4	621	ngun
4	1901	hkod
4	0	rren
4	47	yiba
4	207	bimb
4	12	yidi
4	1	labb
4	7	biro
4	5	djol
4	54	kadu
4	45	bima
4	27	kamr
4	137	bady
4	6	hwer
4	3	nada
4	109	yimw
4	86	bend
4	212	ngab
4	45	kaba
4	11	hwar
4	16	kake
4	128	bimk
4	88	yaum
4	38	yiku
4	14	kebl
4	959	bong
4	207	wohb
4	30	kawo
4	891	golk
4	156	hyid
4	951	hkom
4	36	biga
4	154	kamd
4	1	darn
4	891	dabu
4	0	hlur
5	43	diler
5	45	kakma
5	1	nadol
5	0	biyar
5	23	kanku
5	1	yinja
5	20	kahya
5	14	kanke
5	1004	ngane
5	19	yihke
5	0	rungi
5	13	yimad
5	951	bikom
5	29	benba
5	16	hgakl
5	12	hbarl
5	6	kanud
5	109	kanew
5	45	kakbe
5	0	kadar
5	8	dubbe
5	11	biwod
5	2	yinay
5	4	kunma
5	14	bidun
5	59	mimdu
5	17	redmi
5	3	yiber
5	141	dedjd
5	34	kumwo
5	35	yawka
5	6	dahme
5	6	kanre
5	9	yiyin
5	19	gakge
5	54	keler
5	0	naboy
5	4	royhm
5	2	bibeh
5	156	yimed
5	12	lodmu
5	2	bennj
5	1	mirnd
5	6	rreng
5	4	karoh
5	109	ngahw
5	10	kanen
5	0	ngung
5	19	kanhr
5	44	nguny
5	2	mando
5	161	yawrr
5	2	kanjo
5	164	gakrr
5	861	mekeb
5	3	ngalw
5	25	rakbi
5	36	bimka
5	0	kungo
5	0	kunga
5	5	yiwol
5	965	yiboy
5	2	namal
5	1	nadjo
5	1	windi
5	1	nakor
5	0	nawar
5	3	kamud
5	3	gakla
5	128	benek
5	5	yiway
5	1	yibab
5	30	kabir
5	13	kabon
5	14	kadun
5	88	ngank
5	17	biyil
5	42	kahbe
5	3	nakol
5	17	gobod
5	107	ngadj
5	68	yirru
5	20	bigol
5	2	lowkm
5	894	rakyi
5	102	djenk
5	91	kanrr
5	4	yimud
5	10	wohdi
5	44	kamba
5	893	komyi
5	891	moken
5	3	ngimi
5	55	kaner
5	4	manng
5	28	balbi
5	1	binji
5	14	bihru
5	34	balwo
5	799	kakeb
5	10	kayin
5	37	bimku
5	3	lodre
5	1	yibin
5	1789	badyi
5	104	yihdj
5	4	nudme
5	21	galhr
5	868	yinuk
5	43	kahda
5	984	kuyin
5	1103	korrk
5	6	gaknj
5	9	hyiwi
5	25	birre
5	23	karer
5	1	yingk
5	0	yiyon
5	4	bimud
5	13	yidur
5	45	gakbe
5	102	hdadk
5	45	kumma
5	87	kanhk
5	30	lodka
5	2	manke
5	874	bodme
