x	y	name
0	0	
1	2767	x
1	2767	x
1	2767	x
1	2767	x
1	2767	x
1	2767	x
1	2767	x
1	2767	x
1	2767	x
1	2767	x
1	2767	x
2	1806	hx
2	99	xj
2	1776	xo
2	931	xe
2	1806	hx
2	825	gx
2	1206	xa
2	154	xu
2	26	lx
2	968	mx
2	931	xe
2	1776	xo
2	931	xe
2	2099	bx
2	140	xy
2	451	dx
2	1947	xi
2	1206	xa
2	1947	xi
2	2099	bx
2	1776	xo
2	1206	xa
2	1206	xa
2	1806	hx
2	215	wx
2	66	rx
2	204	xw
2	1206	xa
2	116	xg
2	215	wx
2	1947	xi
2	154	xu
2	300	nx
2	1947	xi
2	66	rx
2	154	xu
2	26	lx
2	154	xu
2	1206	xa
2	66	rx
2	440	xd
2	931	xe
2	1206	xa
2	154	xu
2	1947	xi
2	28	xl
2	968	mx
2	159	xm
2	66	rx
2	71	xr
2	66	rx
2	968	mx
2	1151	kx
2	931	xe
2	451	dx
2	451	dx
3	9	xre
3	6	xji
3	843	dax
3	5100	kax
3	1173	hbx
3	221	hkx
3	11	nxe
3	22	dxl
3	207	xow
3	2032	xod
3	811	yxu
3	945	bxy
3	60	xur
3	4448	bix
3	96	xew
3	99	hxj
3	4	rxh
3	90	kxr
3	1614	rxd
3	984	xaw
3	51	mxr
3	451	hdx
3	59	xer
3	26	dxr
3	71	yxy
3	1811	xih
3	137	bxr
3	958	xga
3	169	nax
3	5100	kax
3	9	yux
3	8	xuy
3	221	hkx
3	123	yxk
3	217	xab
3	41	xil
3	4448	bix
3	34	wux
3	14	rxr
3	19	nxi
3	165	mxn
3	2032	xod
3	30	xke
3	14	xro
3	13	lax
3	177	xin
3	137	bxr
3	82	xor
3	983	xeb
3	966	hmx
3	3	lxb
3	2715	xak
3	151	max
3	40	dex
3	807	rxk
3	12	xul
3	883	xoh
3	37	xel
3	69	wax
3	818	rux
3	820	xud
3	735	bxn
3	35	xgu
3	987	xam
3	9	dxk
3	59	xer
3	4	gux
3	2497	box
3	1891	xad
3	728	kxn
3	152	hxu
3	3748	yix
3	1792	kxk
3	98	xek
3	177	xin
3	135	xir
3	68	xda
3	984	xaw
3	186	djx
3	89	dux
3	18	xrr
3	186	xdj
3	32	xmi
3	927	hxe
3	221	hkx
3	1058	bxm
3	2715	xak
3	186	djx
3	41	xil
3	812	rex
3	152	hxu
3	342	xob
3	220	hxa
3	151	max
3	641	bex
3	957	bxl
3	2032	xod
3	12	njx
3	5	xub
3	89	xba
3	836	kex
3	59	xer
3	5100	kax
3	1837	kux
3	214	bxk
3	957	bxl
3	223	yxd
3	813	wxk
3	97	xun
3	790	nxk
3	40	dex
3	891	kxh
3	60	xur
3	984	yxw
3	90	kxr
3	957	bxl
3	37	xja
3	57	bux
3	2652	kxm
3	735	bxn
3	1626	xgo
3	925	xom
3	186	djx
3	807	mix
3	68	xwa
3	70	dxa
3	728	kxn
3	1772	xyi
3	51	mxr
3	927	hxe
3	3748	yix
3	82	xor
3	138	xiy
3	90	kxr
3	56	xol
3	2762	xim
3	80	kxy
3	40	xya
3	99	xay
3	40	dex
3	4448	bix
3	958	xga
3	5100	kax
3	135	xir
3	21	xru
3	5100	kax
3	22	xig
3	2	gex
3	884	gax
3	748	xan
3	3748	yix
3	96	gxw
3	1	lxw
3	24	mox
3	9	wxy
3	10	wxn
3	42	wex
3	79	yxr
3	1628	mex
3	789	dxd
3	1211	xid
3	11	yxg
3	843	dax
3	11	kxg
3	961	xbi
3	2652	kxm
3	26	dxr
3	169	nax
3	215	hwx
3	851	mxm
3	1776	hxo
3	14	rox
3	451	hdx
4	630	xakd
4	1008	woxk
4	7	wxle
4	5	hyxg
4	3	yxla
4	11	hkxl
4	4	hrxh
4	20	ngox
4	89	hdux
4	4342	ngax
4	925	yiyx
4	1209	bixm
4	24	yxbi
4	6	xenl
4	65	bxwa
4	3718	yimx
4	27	bexr
4	2	yxnu
4	183	xawb
4	211	kaxa
4	8	dxol
4	136	kxnd
4	100	hbxn
4	974	hgxk
4	110	yxmk
4	6	nxdm
4	1593	berx
4	193	xadk
4	69	xika
4	24	kxkl
4	1598	dxng
4	11	xern
4	132	yirx
4	1873	hbxd
4	250	yixn
4	1614	lodx
4	4	xale
4	3677	bimx
4	31	xumr
4	8	xira
4	2593	benx
4	105	bixg
4	99	yixj
4	6	rxrr
4	1554	nukx
4	106	xohk
4	24	xebr
4	189	xalb
4	50	bxko
4	194	xaky
4	798	danx
4	2	bxge
4	89	xibe
4	6	kuyx
4	15	woxg
4	10	djix
4	1	lxkk
4	13	yxwl
4	3625	kamx
4	3570	kanx
4	72	xdja
4	1818	yixh
4	825	bigx
4	1	rxul
4	880	kaxb
4	2716	balx
4	79	yxmm
4	11	xahg
4	669	yixd
4	1372	kaxk
4	809	madx
4	149	karx
4	1024	yiwx
4	77	kxhm
4	47	xaba
4	910	nxah
4	925	yiyx
4	5	xowk
4	832	yigx
4	11	xorl
4	96	nuxw
4	1617	dxlk
4	3625	kamx
4	2	labx
4	26	xowi
4	795	kxyi
4	439	xihd
4	798	bxrl
4	102	bxhw
4	34	hxan
4	12	hkxy
4	27	kxmg
4	186	hdjx
4	33	marx
4	1616	xkeb
4	213	xawd
4	63	xiwo
4	806	nxey
4	5	xini
4	880	xang
4	30	kxka
4	782	dixe
4	132	yirx
4	65	wxhy
4	8	mulx
4	17	dxor
4	93	ngxl
4	229	yikx
4	914	xalk
4	540	kxmb
4	1589	bxrd
4	200	lxdd
4	166	baxm
4	101	yixg
4	240	kxmn
4	823	xame
4	1003	hxok
4	1769	bixo
4	2	rrex
4	968	goxo
4	3	kxni
4	59	xomy
4	455	kaxw
4	4342	ngax
4	25	dowx
4	13	nayx
4	100	kxhw
4	211	kaxa
4	7	xubb
4	194	ngxb
4	809	galx
4	540	kxmb
4	27	ximg
4	4	wixr
4	222	ngxd
4	3	kxla
4	149	karx
4	37	xakl
4	911	xene
4	925	bixe
4	10	xiyu
4	321	kaxy
4	811	bxle
4	832	yigx
4	3	bxga
4	25	kxwe
4	540	xakb
4	8	dxhm
4	102	xumw
4	1687	bixi
4	6	xird
4	1175	bibx
4	32	yxmr
4	4	wulx
4	19	hnxi
4	3625	kamx
4	142	xanb
4	9	xadi
4	13	xall
4	38	xorr
4	5	hxre
4	111	bxhk
4	2593	benx
4	197	ximy
4	1614	lodx
4	221	bikx
4	1975	kakx
4	874	xawh
4	77	xokm
4	77	yxwm
4	1843	kaxe
4	1987	bidx
4	220	biwx
4	205	xihw
4	1614	lodx
4	1621	bixd
4	84	bxmn
4	19	xarl
4	61	nuxy
4	310	yixw
4	1768	xbid
4	32	xmar
4	207	yixy
4	59	hxer
4	638	xgan
4	1202	yibx
4	904	kaxj
4	67	bxrr
4	25	yxmi
4	20	bxru
4	18	kxde
4	83	bxhm
4	220	bixa
4	194	mxmd
4	10	yxye
4	2	rxyh
4	150	woxm
4	14	hxru
4	1687	bixi
4	15	yxke
4	83	xirr
4	17	xaye
4	81	gxkn
4	544	ximb
4	46	yxdu
4	989	xgam
4	6	yxrl
4	215	xohd
4	8	xayh
4	22	mxrr
4	59	kxnw
4	35	yxma
4	4	xlur
4	72	kxbm
4	55	kxnn
4	34	xada
4	22	nxud
4	1591	hxuk
4	19	xarl
4	1820	yihx
4	164	menx
4	829	golx
4	76	hxar
4	83	xirr
4	900	xele
4	15	mxrn
4	1784	kahx
4	202	xyiw
4	136	bexb
4	78	mexm
4	347	xadb
4	223	kaxr
4	9	rxwo
4	37	hxel
4	76	xokn
4	2331	kaxh
4	171	xebb
4	1793	yixo
4	883	yixi
4	900	daxk
4	29	yxwr
4	4	xind
4	943	yixe
4	61	raxy
4	11	xebl
4	190	xodk
4	4	xinu
4	14	nxme
4	6	kuyx
4	20	xina
4	946	kaxn
4	630	xakd
4	776	njxm
4	965	bonx
4	76	hxar
4	76	xebn
4	68	woxr
4	5	djxk
4	155	yixu
4	380	xihb
4	105	bixg
4	1	njxl
4	35	ximi
4	15	xiru
4	16	yerx
4	948	hkax
4	2595	hxak
4	943	yixe
4	5	xara
4	3570	kanx
4	20	bxwi
4	108	bxmk
4	142	kaxu
4	15	xinj
4	404	bixw
4	1793	yixo
4	54	xiko
4	10	wabx
4	182	bxdj
4	69	xenk
4	59	xanm
4	2709	kumx
4	1760	kaxo
4	857	xabo
4	15	dorx
4	4342	ngax
4	2716	balx
4	37	xama
4	92	mixk
4	49	xany
4	7	yxro
4	66	bxma
4	1987	bidx
4	29	gaxr
4	902	kuxh
4	220	biwx
4	983	hxeb
4	1618	kebx
4	138	xihy
4	220	bixa
4	461	yidx
4	36	djxr
4	558	xgun
4	26	hxjo
4	74	nuxn
4	2716	balx
4	943	yixe
4	786	milx
4	60	hxur
4	1614	wokx
4	23	mxko
4	1760	wohx
4	7	bxlo
4	65	gxky
4	121	kaxg
4	930	bexd
4	83	hbxr
4	150	kxkm
4	99	gaxw
4	1590	dxle
4	186	xukk
4	41	hbxl
4	220	yxhd
4	1784	kahx
4	1	wexk
4	822	barx
4	10	kxyo
4	33	ngix
4	7	dxrn
4	576	xabi
4	822	barx
4	31	kxhr
4	6	bxla
4	170	lxdb
4	22	mxrr
4	883	hxoh
4	2409	kodx
4	143	boxm
4	65	xiku
4	1024	yiwx
4	2331	kaxh
4	1687	bixi
4	1590	dxle
4	96	mxmw
4	1614	rudx
4	32	yxhr
4	3	xirn
4	224	kxmm
4	15	mxke
4	96	dxdw
4	912	yxwk
4	1158	yixm
4	184	wxhb
4	341	xodb
4	37	bxde
4	160	woxn
4	60	rexy
4	1639	xime
4	87	nxkk
4	811	bxle
4	4	gurx
4	29	maxr
4	6	xkuy
4	789	hdxd
4	51	hmxr
4	904	kaxj
4	799	xago
4	1843	kaxe
4	147	bixu
4	1	xulu
4	2593	benx
4	815	xung
4	786	djxn
4	5	kinx
4	84	bxba
4	31	xamr
4	545	xenh
4	79	gxkm
4	29	xoke
4	2593	benx
4	8	xdil
4	930	bexd
4	48	xenn
4	1873	hbxd
4	1820	yihx
4	99	yixj
4	3677	bimx
4	101	yixg
4	887	djxl
4	142	rxdm
4	2097	baxd
4	32	hnxa
4	1026	kuxk
4	348	bxdb
4	221	bikx
4	197	kxmy
4	951	djax
4	4	kenx
4	102	bxmw
4	170	raxb
4	10	gxkg
4	810	malx
4	31	kxku
4	17	xgur
4	50	xawo
4	226	yixa
4	925	yiyx
4	1737	kabx
4	19	hkxn
4	6	yayx
4	207	yixy
4	60	xgar
4	10	wabx
4	9	yxdi
4	6	nxmi
4	12	hkix
4	1760	kaxo
4	220	bixa
4	1598	dxng
4	106	gxkk
4	31	gxwa
4	1820	yihx
4	2	yuwx
4	346	gobx
4	4	xigu
4	148	bxdm
4	798	bxrl
4	85	bxbe
4	176	binx
4	71	ruxm
4	71	yxum
4	2	gexr
4	6	rxrr
4	95	kxbk
4	30	yilx
4	1372	kaxk
4	17	duxr
4	20	mxwe
4	93	ngxl
4	22	xidr
4	26	wxrr
4	5	dxdg
4	24	ximo
4	128	bxdy
4	3	yxga
4	3677	bimx
4	806	nxui
4	311	xakk
4	13	wuxr
4	155	yixu
4	1793	yixo
4	981	hxid
4	12	kxrl
4	82	hyxn
4	1793	yixo
4	326	bixn
4	15	xiru
4	201	xebd
4	174	yinx
4	224	kxmm
4	103	xgaw
4	8	rohx
4	20	kxya
4	1635	hkox
4	882	hxaw
4	781	korx
4	2	mxnu
4	420	bodx
4	12	kxrl
4	137	xing
4	2641	yawx
4	14	rrux
4	1806	bihx
4	1372	kaxk
4	781	dedx
4	1563	mimx
5	1594	kurlx
5	2049	yixod
5	807	mokex
5	25	bixra
5	6	yxdje
5	557	kanmx
5	1614	ngeyx
5	2748	nganx
5	808	bxhgo
5	66	kumrx
5	55	xaner
5	225	yimkx
5	1786	kelex
5	171	hxebb
5	69	bxney
5	1183	yimbx
5	554	yimxb
5	18	bexhr
5	8	bixuy
5	5	yxwoy
5	92	kaxwe
5	181	dadkx
5	186	yidjx
5	3	yxwag
5	220	ngxhd
5	1789	kaxim
5	60	yixiy
5	2581	ngunx
5	719	ngaxb
5	192	kodxw
5	76	ngxyn
5	1	xaray
5	36	nxawa
5	1621	xikuk
5	817	hkolx
5	1566	kodjx
5	22	yidxl
5	8	kxway
5	40	mewex
5	8	yarlx
5	3	wuxhk
5	35	ngxma
5	813	yxwok
5	440	kahdx
5	32	xohka
5	2	ngxnu
5	1614	yiwkx
5	6	xinje
5	62	yixer
5	806	kandx
5	25	kxnbi
5	61	yixur
5	4	xakel
5	2	xirok
5	7	xanud
5	34	kawux
5	1704	kayax
5	58	kxbiw
5	909	xgamh
5	1560	bxmim
5	221	balkx
5	87	njxmk
5	22	yimux
5	23	xiyak
5	7	yxhro
5	1776	bihxo
5	786	xenyi
5	1181	bixid
5	162	xgakn
5	4	bxhra
5	119	koxdy
5	810	hxung
5	28	yigxr
5	152	bihxu
5	46	bxngu
5	786	hdxdj
5	657	kanxd
5	18	kamux
5	1760	hwohx
5	3664	kanex
5	5	xawyu
5	3664	kanex
5	9	xawdi
5	19	hxurl
5	223	yihxa
5	34	bxmwa
5	652	yibxn
5	16	kabxg
5	14	kaxla
5	71	kakxr
5	765	xanuk
5	884	bxwoh
5	5	kxmnu
5	1	murxn
5	1554	hnukx
5	1554	milhx
5	7	melxe
5	2581	ngunx
5	88	kxmwo
5	935	yihxe
5	1786	ngaxo
5	12	ngxnl
5	9	duxbe
5	83	yiyxm
5	3	yxmil
5	90	kxmku
5	879	yaxoh
5	102	yixwa
5	255	bimxa
5	166	yimxu
5	76	bixar
5	68	yihrx
5	100	djxlw
5	27	wxhko
5	194	xilhd
5	1677	bixad
5	2427	yixyi
5	966	gakmx
5	64	kahrx
5	811	nxayi
5	87	dexjk
5	76	kaxar
5	59	djexy
5	2748	nganx
5	667	kaxbi
5	61	nxkng
5	83	goxin
5	24	gaxbi
5	660	yixen
5	6	xaknu
5	1	djixb
5	3	hxirn
5	1556	dedjx
5	1559	xinuk
5	11	yinxe
5	26	goxay
5	100	gobox
5	59	mixhy
5	103	kxnew
5	196	koxjd
5	696	kabxn
5	120	xkeby
5	2748	nganx
5	76	kxler
5	194	xaneb
5	1445	benxh
5	782	denxe
5	922	yixal
5	120	dxlky
5	65	yxwhy
5	2	doxna
5	26	xikan
5	96	bilxk
5	4	xigal
5	966	bihmx
5	11	bikxl
5	925	yimyx
5	3	xakge
5	70	kaxke
5	96	barxw
5	2	xennj
5	1616	berdx
